address,area,city,country,crawl_date,guest_recommendation,hotel_brand,hotel_category,hotel_star_rating,image_count,latitude,locality,longitude,point_of_interest,property_id,property_name,property_type,province,query_time_stamp,review_count_by_category,room_area,room_count,room_type,site_review_count,site_review_rating,site_stay_review_rating,sitename,state,uniq_id
"Ashirwad Enclave, Lakhimi Path, Jonali, R.G.Baruah Road,",Rg Baruah Road,Guwahati,India,24-07-2016,90,null,regular,0,13,26.16618281,Rg Baruah Road,91.77741357,Rg Baruah Road|Nehru Stadium|Guwahati Railway Station|Assam State Museum|Guwahati Planetarium,HTLGBO1000078940,Ashirwad Homestay,Hotel,Guwahati,2016-07-24 01:12:30 +0000,positive reviews::19|critical reviews::2|reviews with images::7,,4,Deluxe Ac Suite with Kitchentte,21,4.3,Service Quality::4.5|Amenities::4.1|Food and Drinks::4.2|Value for Money::4.5|Location::3.9|Cleanliness::4.5,goibibo,Assam,0e82d18692933c36f3be2928b60ab191
"Near Botanical Garden Metro Station,Sec  -  46",Others,NOIDA,India,24-07-2016,,null,regular,0,0,28.5522379,Others,77.3597194,The Great India Place|Worlds of Wonder|Botanical Garden Metro Station|Noida Golf Course Metro Station|Shipra Mall|Others,HTLGBO1000003719,Apna Ghar- Sector 46,Guest House,NOIDA,2016-07-24 01:12:30 +0000,,,32,Deluxe Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Uttar Pradesh,7d3a45fb5a5481f4f28975cebc8dd3c0
"429, Sector-6, Rohini, Near Vidha Jain Public School",Rohini,Delhi,India,24-07-2016,,null,regular,0,6,28.7097476,Rohini,77.1103954,North Delhi|Parsavnath Mall Rohini|Metro Walk|Rohini|Jaipur Golden Hospital|Dr. Baba Saheb Ambedkar Hospital,HTLGBO1000096488,Baba Guest House,Guest House,Delhi,2016-07-24 01:12:30 +0000,,,3,Standard Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Delhi,45a4f01f95a7cf07713692c32efa9f3f
"Village Gurdorh, Naggar Road, Manali,Distt. Kullu Himachal Pradesh",Naggar Road,Manali,India,24-07-2016,,null,regular,4,7,32.2459026,Naggar Road,77.1880853,Naggar Road|Manali 1st Super Market|Chandrakhani Pass|Vashist Hot Water Springs and Temples,HTLGBO1000054416,Baragarh Villa,Villa,Manali,2016-07-24 01:12:30 +0000,,,4,Royal Suite,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Himachal Pradesh,72968b25d39d6fbc47f342fc6ca80cee
"Titawada, Nerul Bardez Goa",Candolim Area,Goa,India,24-07-2016,92,null,regular,0,8,15.5049283,Candolim Area,73.7919103,Vintage Hospital And Medical Research Centre|Sinquerim Beach|Shanta Durga Temple|Chichekade Bus Stop|Candolim Bus Stop|Candolim Area|Fort Aguada|Miramar Beach|Kala Academy|North Goa|Candolim Beach,HTLGBO1000008549,Annapurna Guest House,Guest House,Goa,2016-07-24 01:12:30 +0000,positive reviews::38|critical reviews::0|reviews with images::3,,2,AC 1 BHK,38,4.6,Service Quality::4.6|Amenities::4.5|Food and Drinks::4.4|Value for Money::4.8|Location::4.4|Cleanliness::4.7,goibibo,Goa,e937f1f395656f529f269d6bc189a52f
"Plot No:2,Elcot Avenue,Rajiv Gandhi Road,(OMR),Near Sozhanganallur Signal, before aavin milk factory",Thuraipakkam,Chennai,India,24-07-2016,67,null,regular,0,3,12.8944628,Thuraipakkam,80.2273584,Thuraipakkam,HTLGBO1000016892,ARAVINDAR RESIDENCY,Hotel,Chennai,2016-07-24 01:12:30 +0000,positive reviews::22|critical reviews::6|reviews with images::2,10 X 10 Sq.ft.,22,Deluxe Room,28,3.6,Service Quality::3.5|Amenities::3.7|Food and Drinks::3.4|Value for Money::3.8|Location::4.0|Cleanliness::3.8,goibibo,Tamil Nadu,6c400590e2262416abddeccb148f439f
"Chitrasani Village, Off. Abu-Palanpur Highway No. 14, Banaskantha, Gujarat",Banaskantha,Chitrasani,India,24-07-2016,0,null,regular,3,17,24.26778,Banaskantha,72.483507,Banaskantha,HTLGBO1000059384,Balaram Palace Resort,Palace,Chitrasani,2016-07-24 01:12:30 +0000,positive reviews::0|critical reviews::1|reviews with images::0,,21,Royal Tent,1,1,Service Quality::1.0|Amenities::1.0|Food and Drinks::1.0|Value for Money::1.0|Location::1.0|Cleanliness::1.0,goibibo,Gujarat,06fd2432c131b986e3dabef63869e0fe
"Village Savti, Dharampuri, P.O. Daulatpura, Distt. Khandar",Ranthambhore,Sawai Madhopur,India,24-07-2016,,null,regular,0,6,26.0065687,Ranthambhore,76.6037222,Ranthambhore,HTLGBO1000048022,Bhadrawati Safari Lodge,Lodge,Sawai Madhopur,2016-07-24 01:12:30 +0000,,,10,Luxury Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Rajasthan,ea07c562f673b643f273ce04dfa9e893
"NT Mall Road, Dalhousie ,176304(HP)",The Mall,Dalhousie,India,24-07-2016,84,null,regular,3,7,32.537371,The Mall,75.9824737,Dainkund Peak|Rang Mahal|The Mall,HTLGBO1000075636,AS Clarks inn,Hotel,Dalhousie,2016-07-24 01:12:30 +0000,positive reviews::50|critical reviews::7|reviews with images::11,,10,Deluxe,57,4.2,Service Quality::4.2|Amenities::4.1|Food and Drinks::4.1|Value for Money::4.1|Location::4.2|Cleanliness::4.1,goibibo,Himachal Pradesh,091daef6f4cf8e8fc39bac2cf9342e79
"Mullassery Building, Near Pallathuruthy Bridge, AC Road, Alleppey, Kerala, 688003",Others,Alleppey,India,24-07-2016,,null,regular,0,3,9.4980667,Others,76.3388484,Champakulam Church|Alleppey Railway Station|Others|Alleppey Beach,HTLGBO1000064884,"Beautiful Alleppey Tours Two Bedroom, Alleppey",Houseboat,Alleppey,2016-07-24 01:12:30 +0000,,,2,Deluxe Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Kerala,78d6eb4657722af02cdbcabf1c579fb7
Sinhgad road pune,Pune Bangalore Highway,Pune,India,24-07-2016,,null,regular,0,2,18.47885819,Pune Bangalore Highway,73.82231814,Chaitanya Hospital|Lokmanya Hospitals Joint Replacement Center|Mai Mangeshkar Hospital|Deenanath Mangeshkar Hospital|saras baug|Pune Bangalore Highway|Anandibai Narhar Gadgil Hospital|Krishna Hospital|Parvati Hill|Cipla Cancer &amp; Aids Foundation Care &amp; Training Center|Cipla Cancer & Aids Foundation Care & Training Center,HTLGBO1000057350,Ashiyana,Homestay,Pune,2016-07-24 01:12:30 +0000,,,5,Double Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Maharashtra,67c5e17d1829882a2eea640f7863eebc
"Railway Station Rd,NEAR SHIVAJI STATUE,NANDED,MAHARASHTRA.",Railway Station Rd,Nanded,India,24-07-2016,87,null,regular,0,4,19.1382514,Railway Station Rd,77.3209555,Railway Station Rd|Shri Guru Gobind Singh Ji Airport,HTLGBO1000059830,ASHIRWAD LODGING,Hotel,Nanded,2016-07-24 01:12:30 +0000,positive reviews::28|critical reviews::13|reviews with images::6,,10,NON AC DELUXE,41,3.2,Service Quality::3.2|Amenities::3.1|Food and Drinks::3.9|Value for Money::3.6|Location::3.6|Cleanliness::2.9,goibibo,Maharashtra,435632e2bd4d3b81f2e2ad2420769fdf
"Dadanpatrabar, Mandarmani.",Beach Road,Mandarmani,India,24-07-2016,92,null,regular,0,6,21.66141333,Beach Road,87.69783314,Beach Road|Mandarmani Beach,HTLGBO1000011595,Aqua Marina Drive Inn,Resort,Mandarmani,2016-07-24 01:12:30 +0000,positive reviews::122|critical reviews::5|reviews with images::42,,14,Aqua Super Royal AC (1st &amp; 2nd Floor with Sea View),127,4.5,Service Quality::4.5|Amenities::4.4|Food and Drinks::4.4|Value for Money::4.6|Location::4.7|Cleanliness::4.6,goibibo,West Bengal,573304a6989158cd0bad4c755bbcd3b3
"Nagalore road  Opp petrol bunk,",Yercaud Main Town,Yercaud,India,24-07-2016,100,Leisure Hotels,regular,0,7,11.78877598,Yercaud Main Town,78.21110564,Arthur Seat|Yercaud Main Town|Killiyur Falls,HTLGBO1000013799,Annai Illam Guest House,Guest House,Yercaud,2016-07-24 01:12:30 +0000,positive reviews::1|critical reviews::0|reviews with images::0,14 X 14 Sq.ft.,2,Triple bed room,1,4.6,Service Quality::5.0|Amenities::5.0|Food and Drinks::4.6|Value for Money::5.0|Location::4.6|Cleanliness::4.6,goibibo,Tamil Nadu,10fc96c69463e641906a040122dbcee4
"Shuru, PO Prini, Manali",Village Prini,Manali,India,24-07-2016,100,null,regular,0,14,32.21280111,Village Prini,77.19837426,Hadimba Temple|Himalayan Nyingmapa Gompa|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Van Vihar|Village Prini|Manu Temple|Lady Willingdon Hospital|Chandrakhani Pass|Manali Bus Stand|Civil Hospital|Manali 1st Super Market|Club House,HTLGBO1000089780,Bella Marina Villa,Hotel,Manali,2016-07-24 01:12:30 +0000,positive reviews::1|critical reviews::0|reviews with images::1,,11,Deluxe Room,1,4,Service Quality::4.0|Amenities::4.0|Food and Drinks::4.0|Value for Money::4.0|Location::4.0|Cleanliness::4.0,goibibo,Himachal Pradesh,4f232fbf4f2b1c496d77e2a17ec470c9
"plot no 56, ghata village, gurgaon",Others,Gurgaon,India,24-07-2016,,null,regular,0,4,28.4667564,Others,77.0930199,Others|Amity International School,HTLGBO1000086812,ATOM Guest House,Guest House,Gurgaon,2016-07-24 01:12:30 +0000,,,5,Standard Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Haryana,b8b562d0ae94028f7acd71d83bfcb2d4
"Bendemeer Group of House boat, Ghat No 7, Boulevard Road, Srinagar, Jammu and Kashmir",Dal Lake Area,Srinagar,India,24-07-2016,,null,regular,0,15,34.0988217,Dal Lake Area,74.84297829,Dastgir Sahib|Dal Lake Area,HTLGBO1000067822,Bendmeer Group of House Boat and Resorts,Houseboat,Srinagar,2016-07-24 01:12:30 +0000,,15 X 18 Sq.ft.,4,Super Deluxe,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Jammu and Kashmir,9f75ad408665c44f1846e138da771bdd
"Gat no 1000, At post Dapode Khariv Bandhara, Taluka Velhe",Others,Pune,India,24-07-2016,,null,regular,0,7,18.2962689,Others,73.637432,Others,HTLGBO1000067716,Balaji Resorts,Resort,Pune,2016-07-24 01:12:30 +0000,,,6,delux room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Maharashtra,f0ecaca226218e94b5f0802d7b2af32b
Near Central St Stand,Parshuram,Chiplun,India,24-07-2016,,null,regular,0,6,17.5323106,Parshuram,73.5177928,Sawatsada Waterfall|Parshuram|Walavalkar Shivaji Museum,HTLGBO1000069246,Asha Sukha Nivas Laudge,Lodge,Chiplun,2016-07-24 01:12:30 +0000,,,9,Aircooled,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Maharashtra,cc3c623536dcb613550637462b2b1d55
"Road No. 2, Central Avenue,Kalyani Nagar",Kalyani Nagar,Pune,India,24-07-2016,97,null,regular,4,34,18.5479334,Kalyani Nagar,73.90096309,Aga Khan Palace|Kalyani Nagar|Poona Club Golf Course|Pune Airport|Osho Ashram,HTLGBO1000006366,AR Suites Fontana Bay,Service Apartment,Pune,2016-07-24 01:12:30 +0000,positive reviews::41|critical reviews::0|reviews with images::5,,19,1 Bedroom,41,4.6,Service Quality::4.5|Amenities::4.6|Food and Drinks::4.6|Value for Money::4.6|Location::4.7|Cleanliness::4.8,goibibo,Maharashtra,5cb5586a975916d63eb933fd5539580b
"Village Simsa, Kanyal Road",Village Simsa,Manali,India,24-07-2016,16,null,regular,3,30,32.226787,Village Simsa,77.1854487,Village Simsa|Chandrakhani Pass|Manali 1st Super Market,HTLGBO1000017212,Atithi Cottages,Hotel,Manali,2016-07-24 01:12:30 +0000,positive reviews::2|critical reviews::4|reviews with images::1,,10,Luxury Room,6,2.9,Service Quality::3.1|Amenities::3.1|Food and Drinks::2.9|Value for Money::2.9|Location::2.9|Cleanliness::3.1,goibibo,Himachal Pradesh,c5cfd0295572c7f718bf405fff4b3cd4
"# 598, 15th Cross, 35th Main,6th Phase, JP Nagar",Jp Nagar,Bangalore,India,24-07-2016,74,null,regular,4,74,12.9058293,Jp Nagar,77.5783209,Lal Bagh Botanical Garden|THE BULL TEMPLE|Apollo Hospitals|Spices Board Regional Office|Sagar Hospitals|Bangalore Water Supply &amp; Sewerage Board|ICFAI University|Rajiv Gandhi University of Health Sciences|Rajiv Gandhi Institute of Chest Diseases|Jayanagar Bus Stop|Sri Jayadeva Institute of Cardiovascular Sciences and Research|HSBC Bus Stop|Jp Nagar|Sree Tirumalagiri Lakshmi Venkateshwara Devasthanam|Fortis Hospital|Sanjay Gandhi Accident Hospital and Research Institute|Gangamma temple|Royal Meenakshi Mall|Jayanagar Metro Station|Indira Gandhi Institute Of Child Health Hospital|Bangalore Water Supply & Sewerage Board,HTLGBO1000003192,Aurick Hotel,Hotel,Bangalore,2016-07-24 01:12:30 +0000,positive reviews::75|critical reviews::11|reviews with images::12,,47,Premium Room,86,4,Service Quality::3.9|Amenities::4.0|Food and Drinks::4.2|Value for Money::3.9|Location::4.2|Cleanliness::4.5,goibibo,Karnataka,6b11ae7b16c0ef9b94082304e1a329c1
"Near Bus Stand, Station Road, Bagalkot, Karnataka PIN 587101",Near Bus Stand,Bagalkot,India,24-07-2016,,null,regular,1,11,16.1846503,Near Bus Stand,75.7009452,Near Bus Stand,HTLGBO1000068416,Anugraha Deluxe Hotel,Hotel,Bagalkot,2016-07-24 01:12:30 +0000,,,20,Non AC Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Karnataka,bdd13bb3dc9fb2166725646314435ce2
"Near New Bus Terminal, Main Road,Kalpetta, Wayanad",Kalpetta,Wayanad,India,24-07-2016,83,null,regular,4,28,11.6045217,Kalpetta,76.0834992,Kalpetta,HTLGBO1000022196,Best Western Plus Ekobarn,Hotel,Wayanad,2016-07-24 01:12:30 +0000,positive reviews::64|critical reviews::8|reviews with images::14,25 X 11 Sq.ft.,5,Premium Double Room with Breakfast,72,4.3,Service Quality::4.2|Amenities::4.4|Food and Drinks::4.2|Value for Money::4.3|Location::4.2|Cleanliness::4.5,goibibo,Kerala,49f7eb436677a526d8f7bb06a7cd078b
"Village Nadiali, P.O. Dharamgarh, Near Nabha Sabhib Gurudwara, Ajitgarh, Chandigarh",Others,Chandigarh,India,24-07-2016,0,null,regular,0,5,30.7046486,Others,76.7178726,Others|Krishna Market|Sector-43 Bus Stand|Mohali Cricket Stadium|Hockey Stadium,HTLGBO1000049560,Aura Vaseela,Resort,Chandigarh,2016-07-24 01:12:30 +0000,positive reviews::0|critical reviews::1|reviews with images::0,,9,Cottage Rooms,1,1.6,Service Quality::1.6|Amenities::1.6|Food and Drinks::1.6|Value for Money::1.6|Location::1.6|Cleanliness::1.6,goibibo,Punjab,f646e70f34462405acc8a5a6c760226b
"Naddi, Dal Lake, Mcleod Ganj",Village Naddi,Mcleodganj,India,24-07-2016,66,null,regular,2,14,32.2418621,Village Naddi,76.32083465,Dalai Lama Temple|Bhagsu Waterfall|Dharamkot|Pathankot|Bhagsunath Temple|Kangra|Dalhousie|Tapovan|McLeod Ganj|Dal Lake|Bajreshwari Devi Temple|Tibet Museum|Village Naddi|Triund trek from,HTLGBO1000001808,Anupam Resorts,Resort,Mcleodganj,2016-07-24 01:12:30 +0000,positive reviews::10|critical reviews::2|reviews with images::4,12 X 12 Sq.ft.,29,Deluxe Room,12,4.1,Service Quality::3.9|Amenities::4.0|Food and Drinks::4.7|Value for Money::4.1|Location::4.3|Cleanliness::4.7,goibibo,Himachal Pradesh,5164c283c495b679048fc1eea6b59359
"Near La calypso casino, Saunta Waddo, Baga Beach",Baga Area,Goa,India,24-07-2016,66,null,regular,0,2,15.56068833,Baga Area,73.75276548,"North Goa|Anjuna Beach|Baga Area|Calangute Beach|Titos lane, baga|Baga Beach|Calangute Bus Stand|Anjuna Beach Bus Stop",HTLGBO1000029574,Atharv Coastal End Guest House,Guest House,Goa,2016-07-24 01:12:30 +0000,positive reviews::2|critical reviews::1|reviews with images::2,10 X 8 Sq.ft.,6,Standard A/C Room,3,3.4,Service Quality::3.4|Amenities::3.4|Food and Drinks::1.0|Value for Money::3.4|Location::3.4|Cleanliness::1.0,goibibo,Goa,391757427f635f24e0b1b373f088a3d3
Badrish Hotal Near Tapowan Choki,Laxman Jhula Area,Rishikesh,India,24-07-2016,,null,regular,2,6,30.0869281,Laxman Jhula Area,78.2676116,Laxman Jhula Area|Triveni Ghat,HTLGBO1000071886,Badrish,Hotel,Rishikesh,2016-07-24 01:12:30 +0000,,,5,Deluxe Ac Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Uttarakhand,970191f36308cc9016694f8da25bb551
"Adjacent Chakravarthy Theater, KPT St, Siva Nagar, Dharmavaram,Anantapu",Siva Nagar,Anantapur,India,24-07-2016,,null,regular,0,13,14.4158928,Siva Nagar,77.7255276,Siva Nagar,HTLGBO1000082694,Balaji Inn,Hotel,Anantapur,2016-07-24 01:12:30 +0000,,,18,Suite Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Andhra Pradesh,d21dc7decafc1a418f6f62e0af099eda
"Kilbury Forest Road,  Village Pangot, Nainital (approx 13Kms from Town)",Village Pangot,Nainital,India,24-07-2016,69,null,regular,4,40,29.4240533,Village Pangot,79.4266449,,HTLGBO1000005868,Ashokas Naini Chalet,Resort,Nainital,2016-07-24 01:12:30 +0000,positive reviews::18|critical reviews::5|reviews with images::4,10 X 10 Sq.ft.,30,chalet,23,3.5,Service Quality::3.7|Amenities::3.4|Food and Drinks::3.3|Value for Money::3.3|Location::3.7|Cleanliness::3.5,goibibo,Uttarakhand,b606ef6f7bca2604dad406116779e58d
"#1, V H Road, Palakkad 678701",English Church Road,Palakkad,India,24-07-2016,,null,regular,0,8,10.7770321,English Church Road,76.6763738,Palakkad Fort|Thiruvalathoor Shiva Temple|Kalpathy Temple|English Church Road|Jain Temple,HTLGBO1000066976,Apex Residency,Hotel,Palakkad,2016-07-24 01:12:30 +0000,,,17,Standard Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Kerala,35a6f6bca0900767ab573361e32ecd0d
"S.N Junction, Punnamada, Alappuzha",Finishing Point Road,Alleppey,India,24-07-2016,,null,regular,0,11,9.4980667,Finishing Point Road,76.3388484,Finishing Point Road|Alleppey Railway Station|Champakulam Church|Alleppey Beach,HTLGBO1000065234,Bens Houseboats 4 Bed Room A/c DLX (4),Houseboat,Alleppey,2016-07-24 01:12:30 +0000,,,4,4 Bed Room A/c DLX 8 PAX,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Kerala,41ce5e72bec060925f421359bbccf53f
shahi hamdan colony zukroo,Others,Srinagar,India,24-07-2016,,null,regular,0,7,34.1255413,Others,74.9442585,Others,HTLGBO1000059450,BE MY GUEST,Guest House,Srinagar,2016-07-24 01:12:30 +0000,,,6,deluxe room Double,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Jammu and Kashmir,b162ad2ad5c83cdcaf714df31c89fc82
